2026-06-09 10:23:07,GOLD26AUGFUT,154773,154809,154816,155126,154396
2026-06-09 10:23:07,SILVER26JULFUT,245119,245195,245068,246113,243932
2026-06-09 10:23:07,123668231,157980,158108,158107,158301,157915
2026-06-09 10:23:07,SILVER26SEPFUT,251323,251454,251100,252448,250500
2026-06-09 10:23:07,XAUUSD,4329.72,4329.83,4329.72,4342.34,4313.06
2026-06-09 10:23:07,XAGUSD,67.85,67.92,67.85,68.28,67.46
2026-06-09 10:23:07,INRSPOT,95.62,95.63,95.62,95.70,95.42
2026-06-09 10:23:08,GOLD26AUGFUT,154773,154809,154816,155126,154396
2026-06-09 10:23:08,118822407,245119,245193,245068,246113,243932
2026-06-09 10:23:08,123668231,157980,158108,158107,158301,157915
2026-06-09 10:23:08,120761607,251323,251454,251100,252448,250500
2026-06-09 10:23:08,XAUUSD,4329.73,4329.84,4329.73,4342.34,4313.06
2026-06-09 10:23:08,XAGUSD,67.86,67.91,67.86,68.28,67.46
2026-06-09 10:23:08,INRSPOT,95.63,95.64,95.63,95.70,95.42
2026-06-09 10:23:09,GOLD26AUGFUT,154773,154809,154816,155126,154396
2026-06-09 10:23:09,118822407,245068,245117,245119,246113,243932
2026-06-09 10:23:09,123668231,157980,158108,158107,158301,157915
2026-06-09 10:23:09,120761607,251138,251454,251100,252448,250500
2026-06-09 10:23:09,XAUUSD,4328.81,4329.06,4328.81,4342.34,4313.06
2026-06-09 10:23:09,XAGUSD,67.85,67.89,67.85,68.28,67.46
2026-06-09 10:23:09,INRSPOT,95.62,95.63,95.62,95.70,95.42
2026-06-09 10:23:10,GOLD26AUGFUT,154742,154781,154773,155126,154396
2026-06-09 10:23:10,SILVER26JULFUT,245068,245114,245119,246113,243932
2026-06-09 10:23:10,123668231,157980,158108,158107,158301,157915
2026-06-09 10:23:10,SILVER26SEPFUT,251139,251422,251100,252448,250500
2026-06-09 10:23:10,XAUUSD,4328.91,4328.99,4328.91,4342.34,4313.06
2026-06-09 10:23:10,XAGUSD,67.83,67.89,67.83,68.28,67.46
2026-06-09 10:23:10,INRSPOT,95.62,95.63,95.62,95.70,95.42
2026-06-09 10:23:11,119445255,154742,154781,154773,155126,154396
2026-06-09 10:23:11,118822407,245068,245114,245119,246113,243932
2026-06-09 10:23:11,123668231,157980,158107,158107,158301,157915
2026-06-09 10:23:11,120761607,251139,251422,251100,252448,250500
2026-06-09 10:23:11,XAUUSD,4328.61,4328.72,4328.61,4342.34,4313.06
2026-06-09 10:23:11,XAGUSD,67.84,67.87,67.84,68.28,67.46
2026-06-09 10:23:11,INRSPOT,95.61,95.66,95.61,95.70,95.42
2026-06-09 10:23:12,119445255,154726,154781,154773,155126,154396
2026-06-09 10:23:12,118822407,245068,245117,245119,246113,243932
2026-06-09 10:23:12,123668231,157960,158107,158107,158301,157915
2026-06-09 10:23:12,SILVER26SEPFUT,251139,251406,251100,252448,250500
2026-06-09 10:23:12,XAUUSD,4328.57,4328.68,4328.57,4342.34,4313.06
2026-06-09 10:23:12,XAGUSD,67.82,67.89,67.82,68.28,67.46
2026-06-09 10:23:12,INRSPOT,95.61,95.66,95.61,95.70,95.42
2026-06-09 10:23:13,GOLD26AUGFUT,154717,154781,154773,155126,154396
2026-06-09 10:23:13,SILVER26JULFUT,245068,245114,245119,246113,243932
2026-06-09 10:23:13,123668231,157960,158107,158107,158301,157915
2026-06-09 10:23:13,SILVER26SEPFUT,251139,251406,251100,252448,250500
2026-06-09 10:23:13,XAUUSD,4328.46,4329.05,4328.46,4342.34,4313.06
2026-06-09 10:23:13,XAGUSD,67.85,67.87,67.85,68.28,67.46
2026-06-09 10:23:13,INRSPOT,95.61,95.66,95.61,95.70,95.42
2026-06-09 10:23:14,GOLD26AUGFUT,154717,154781,154773,155126,154396
2026-06-09 10:23:14,SILVER26JULFUT,245068,245116,245119,246113,243932
2026-06-09 10:23:14,123668231,157960,158107,158107,158301,157915
2026-06-09 10:23:14,SILVER26SEPFUT,251139,251406,251100,252448,250500
2026-06-09 10:23:14,XAUUSD,4328.48,4329.02,4328.48,4342.34,4313.06
2026-06-09 10:23:14,XAGUSD,67.83,67.88,67.83,68.28,67.46
2026-06-09 10:23:14,INRSPOT,95.61,95.66,95.61,95.70,95.42
2026-06-09 10:23:15,GOLD26AUGFUT,154717,154781,154773,155126,154396
2026-06-09 10:23:15,118822407,245068,245116,245119,246113,243932
2026-06-09 10:23:15,123668231,157960,158107,158107,158301,157915
2026-06-09 10:23:15,120761607,251139,251406,251100,252448,250500
